epoch,char_0_accuracy,char_0_loss,char_1_accuracy,char_1_loss,char_2_accuracy,char_2_loss,char_3_accuracy,char_3_loss,char_4_accuracy,char_4_loss,loss,lr,val_char_0_accuracy,val_char_0_loss,val_char_1_accuracy,val_char_1_loss,val_char_2_accuracy,val_char_2_loss,val_char_3_accuracy,val_char_3_loss,val_char_4_accuracy,val_char_4_loss,val_loss
0,0.05607476457953453,3.5534605979919434,0.07242990285158157,3.6391589641571045,0.053738318383693695,3.5685875415802,0.045560747385025024,3.722771644592285,0.05257009342312813,3.5725340843200684,18.056514739990234,0.0005,0.09345794469118118,2.9359476566314697,0.04205607622861862,2.947239398956299,0.0607476644217968,2.9534502029418945,0.05140186846256256,2.9500534534454346,0.05607476457953453,2.941676139831543,14.728365898132324
1,0.05957943946123123,3.4517500400543213,0.05140186846256256,3.4668681621551514,0.04789719730615616,3.5237600803375244,0.058411214500665665,3.5237677097320557,0.05140186846256256,3.534752368927002,17.500898361206055,0.0005,0.09345794469118118,2.9280195236206055,0.04205607622861862,2.964484214782715,0.032710280269384384,2.9693615436553955,0.05140186846256256,2.9537618160247803,0.07009346038103104,2.9446377754211426,14.76026439666748
2,0.05257009342312813,3.3586783409118652,0.053738318383693695,3.3994157314300537,0.05490654334425926,3.501962184906006,0.049065422266721725,3.576864719390869,0.06542056053876877,3.404686689376831,17.24160385131836,0.0005,0.09345794469118118,2.9263055324554443,0.06542056053876877,2.9642844200134277,0.04205607622861862,2.97353458404541,0.10747663676738739,2.941549777984619,0.05140186846256256,2.9469475746154785,14.7526216506958
3,0.09112149477005005,3.166764974594116,0.09813084453344345,3.2186598777770996,0.07359813153743744,3.2894093990325928,0.07242990285158157,3.2824618816375732,0.08177570253610611,3.2182037830352783,16.175498962402344,0.0005,0.1214953288435936,2.9133543968200684,0.05607476457953453,2.9339652061462402,0.04205607622861862,2.970766544342041,0.10280373692512512,2.930999755859375,0.05140186846256256,2.930569648742676,14.679656028747559
4,0.14836448431015015,2.8784918785095215,0.1425233632326126,2.891719341278076,0.1179906576871872,3.0418953895568848,0.11915887892246246,3.0224454402923584,0.1320093423128128,2.9444692134857178,14.779022216796875,0.0005,0.14485980570316315,2.87321400642395,0.07009346038103104,2.845313787460327,0.04205607622861862,2.9339702129364014,0.09813084453344345,2.882528066635132,0.07009346038103104,2.8689353466033936,14.403961181640625
5,0.21728971600532532,2.489518404006958,0.25584113597869873,2.3996665477752686,0.19042056798934937,2.707277774810791,0.19509345293045044,2.681297779083252,0.20794393122196198,2.5645387172698975,12.842300415039062,0.0005,0.11682242900133133,2.8124983310699463,0.15887850522994995,2.8022403717041016,0.0607476644217968,2.875312328338623,0.09813084453344345,2.8503220081329346,0.09813084453344345,2.8261866569519043,14.166560173034668
6,0.4532710313796997,1.8867624998092651,0.3796728849411011,1.978158712387085,0.2862149477005005,2.3046061992645264,0.24766355752944946,2.4076578617095947,0.32710281014442444,2.168311834335327,10.745498657226562,0.0005,0.10747663676738739,2.69883394241333,0.3644859790802002,2.684699058532715,0.13084112107753754,2.749185800552368,0.09813084453344345,2.7586886882781982,0.21495327353477478,2.70448637008667,13.595892906188965
7,0.6133177280426025,1.426821231842041,0.5268691778182983,1.646675944328308,0.42640188336372375,1.8902618885040283,0.3714953362941742,2.0413031578063965,0.49883177876472473,1.7590957880020142,8.764158248901367,0.0005,0.1682243049144745,2.6034605503082275,0.3925233781337738,2.565014362335205,0.32710281014442444,2.6527371406555176,0.13084112107753754,2.7057905197143555,0.40186914801597595,2.592583179473877,13.119586944580078
8,0.7686915993690491,1.05775785446167,0.6507009267807007,1.349590539932251,0.552570104598999,1.5847092866897583,0.4848130941390991,1.7574704885482788,0.6261682510375977,1.451949119567871,7.20147705078125,0.0005,0.23364485800266266,2.4517571926116943,0.5,2.4144532680511475,0.4532710313796997,2.527355670928955,0.16355140507221222,2.5745184421539307,0.5560747385025024,2.4491066932678223,12.417190551757812
9,0.8481308221817017,0.8566226363182068,0.7605140209197998,1.0898241996765137,0.6436915993690491,1.3685747385025024,0.5677570104598999,1.4943702220916748,0.7126168012619019,1.1995527744293213,6.008944988250732,0.0005,0.23831775784492493,2.317304849624634,0.644859790802002,2.2826380729675293,0.4813084006309509,2.470005512237549,0.19158878922462463,2.4586169719696045,0.644859790802002,2.3693900108337402,11.897955894470215
